id,category_ids,title,badge,badge_label,image_url,rating,reviews,price,original_price,affiliate_link,is_recommended,is_new,is_bestseller
1,"beds,cats,dogs",מיטה עגולה רכה לכלבים וחתולים 6 גדלים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6eb082fa1c6f405c83fd15aa6169258dd.png,4.9,13401,39.03,78.05,https://s.click.aliexpress.com/e/_c34UxdLF,yes,no,yes
2,"tech,dogs,cats",משדר GPS חכם מיני לכלבים וחתולים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S39e58c578c1c420c916f57ec022b82113.jpg,4.8,4585,14.16,30.12,https://s.click.aliexpress.com/e/_c3Bvzp6v,yes,no,yes
3,"beds,dogs",מזרן קירור לכלבים - גדול במיוחד לקיץ,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/Sbb364568a2244cab914fd242eb77f087o.jpg,4.9,5306,22.61,47.11,https://s.click.aliexpress.com/e/_c397OABB,yes,no,yes
4,"beds,cats,dogs",מיטת שינה עמוקה חמה לחתולים וכלבים קטנים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sbb0ee603e97a43359d0f6add124acd09t.jpg,4.9,11143,37.19,74.37,https://s.click.aliexpress.com/e/_c2yfLBhR,yes,no,yes
5,"beds,dogs",מזרון פלנל רך למיטת כלב - כל הגדלים,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S08f8260c7ecd48c299786e34fd1ad15ao.jpg,4.9,4322,18.98,37.96,https://s.click.aliexpress.com/e/_c3maJ75X,yes,yes,no
6,"beds,dogs",בית כלב מחומם לחורף - רחיץ ונשלף,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S28fcf55507e44ea8889c725cc8e5f55dZ.jpg,4.5,2401,49.89,138.58,https://s.click.aliexpress.com/e/_c3IKJvTF,no,yes,no
7,"beds,dogs",מיטת בית לכלבים - לכל עונות השנה,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/S872066483aac4cafbb839e84dcd98480p.jpg,4.5,2544,50.89,103.85,https://s.click.aliexpress.com/e/_c317bHWp,no,no,yes
8,"tech,dogs,cats",משדר GPS בלוטוס מיני - איתור חיות מחמד,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/Sfccc4a08bd0f42369209d250b469848er.jpg,4.9,1651,12.60,27.39,https://s.click.aliexpress.com/e/_c3Y6omCZ,no,no,no
9,"tech,dogs",כיסוי סיליקון לאיירטאג - קולר GPS לכלבים,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/Sd6c8264674154ab7accf824d2235fba2I.jpg,4.9,4179,11.36,22.73,https://s.click.aliexpress.com/e/_c3PwHa6V,yes,yes,no
10,"tech,dogs",משדר GPS חכם E91 - איתור כלבים ומפתחות,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S627eb21e0bc445239db88e5f27c5f57dA.jpg,4.6,1076,30.69,30.69,https://s.click.aliexpress.com/e/_c4s0XwfP,no,yes,no
11,"toys,cats,dogs",עכבר פלאש משעשע לכלבים וחתולים צעצוע משחק חיקוי,top,פופולרי,https://ae-pic-a1.aliexpress-media.com/kf/Sd4cf495cc43f484faea5a7b5a171e61eV.png,4.08,13717,13.42,27.97,https://s.click.aliexpress.com/e/_c3XochuN,yes,yes,yes
12,"toys,cats,dogs",צעצוע אווז קטיפתי חדש לכלבים וחתולים בצבעים כפולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S39a53d78b5e94c92b4edbc5b740c93a9d.jpg,4.9,11177,15.68,34.08,https://s.click.aliexpress.com/e/_c3sx01NJ,yes,yes,yes
13,"toys,cats",כדור צעצוע חתול אוטומטי אינטראקטיבי חכם טעינה,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6eb13246c4414f4394dc7ebd1d1098bcI.png,4.9,24201,18.73,37.46,https://s.click.aliexpress.com/e/_c4CuZGZx,yes,yes,yes
14,"toys,cats",צעצוע פיתיון חתול עם פעמון וקרדדן מקל יניקה ארוך,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S08030898b39d486289e03cb91ffc8097s.jpg,4.9,28039,12.39,24.78,https://s.click.aliexpress.com/e/_c3zdUf1X,yes,yes,yes
15,"toys,cats",צעצוע פאזל חתול עם חורים בקופסה קטיפתית עם פעמונים כדור,top,פופולרי,https://ae-pic-a1.aliexpress-media.com/kf/S03dc20c7163f40cab38372cae517f830I.png,4.9,25848,22.75,49.45,https://s.click.aliexpress.com/e/_c3wumyFB,yes,yes,yes
16,"toys,cats",צעצועי דמויות אנימה גבי בית בובות חיוכים חתול חיבוק,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S089b651f5226447f8f74eb5a3ecbbddc3.jpg,4.9,29227,31.69,63.39,https://s.click.aliexpress.com/e/_c3NKz8gD,yes,yes,yes
17,"toys,cats",צעצוע טחינת שיניים קטנים חתול מצחיק אינטראקטיבי פלאש,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/HTB1excYckWE3KVjSZSyq6xocXXab.jpg,4.67,13333,6.60,6.60,https://s.click.aliexpress.com/e/_c3bBQTG9,yes,yes,yes
18,"toys,cats,dogs",צעצוע חתול רובה כרוב יצירתי דיסקים קצף לחיות מחמד,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sb61db5e25cd341c19f463e58fbc2840eE.jpg,4.9,10915,12.71,28.25,https://s.click.aliexpress.com/e/_c3WEsuml,yes,yes,yes
19,"toys,cats,dogs",מחצלת ליחוק להעשרה נפשית לכלבים וחתולים ממריץ נפסי,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S9057774f3396410b85aa43610d829f993.jpg,4.9,10648,18.45,36.91,https://s.click.aliexpress.com/e/_c4NYPuWH,yes,yes,yes
20,"toys,cats,dogs",צעצוע ליחוק לחיות מחמד תקנון מזון איטי מתקן מזון,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S643b8ca4abbb422f863975e232dd0a43g.jpg,4.9,11112,18.15,36.29,https://s.click.aliexpress.com/e/_c4d0ITbx,yes,yes,yes
21,"pet care,pets",רירי מיטה שמיימים לגרים וזקנים עמידים דליפה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S9cefd733b86441bb8eb931820f0ee0b8h.jpg,4.9,2906,18.23,38.81,https://s.click.aliexpress.com/e/_c2RRuuIl,yes,yes,yes
22,"pet care,pets",מברשת אצבע סיליקון לגרים רכה ביותר טיפול שיניים לכלבים וחתולים,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S115a22a7a64c45df9ad4891975086776z.png,4.9,974,10.56,21.09,https://s.click.aliexpress.com/e/_c4lEkd1P,yes,yes,no
24,"leashes,dogs",רתם כלב עם רצועה משיכה 1.5 מטר ללא משיכה אפוד הגנה רפלקטיבי,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6decd90f5cb74eb18a8d8afa8cfd5ef1R.jpg,4.9,1697,27.53,58.57,https://s.click.aliexpress.com/e/_c2vrdCgv,yes,yes,yes
25,"leashes,dogs",רצועה כלב 3 עד 5 מטר אוטומטית נשלפת עמידה ניילון עופרת כלבלב,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sa816c29ed2674d3b9de9a0881455b1a3s.jpg,4.67,11879,21.19,62.34,https://s.click.aliexpress.com/e/_c4WbFfYN,yes,yes,yes
26,"leashes,dogs,cats",רתם כלב הקללה בטוח ומערכת רצועה לכלבים קטנים חתולים אפוד גור,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S7d40121cbf2c41bba97d77b5b6ccdc4fH.jpg,4.91,4118,19.31,38.62,https://s.click.aliexpress.com/e/_c3rXIJwt,yes,yes,yes
27,"leashes,dogs","רצועות חזקות 120 עד 300 ס""מ לכלבים רצועה כלב עם ידית רכה",top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sb179a1a59a804f9abb333253b07f9bc2h.jpg,4.75,1400,12.01,12.2,https://s.click.aliexpress.com/e/_c3ff0nP3,yes,no,yes
28,"leashes,dogs,cats",אפוד חזה קטן חמוד רצועה קשר כלב משיכה חבל הליכה חתול ארנב,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S693ab2b64dbe4073abeb20e10cdae783l.jpg,4.9,2130,14.83,32.24,https://s.click.aliexpress.com/e/_c4UxPHyl,yes,yes,yes
29,"leashes,dogs,cats",רתם קיץ כלב חתול רצועה אפוד נשלף קטיפה נושמת הגנה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sa6f8d7d65d5d4c5f969bb5a1cf989a87x.jpg,4.43,2436,16.86,49.58,https://s.click.aliexpress.com/e/_c3ceO4mz,yes,no,no
30,"leashes,dogs,cats",רתם כלב חתול עם רצועה עופרת אפוד ניילון נושם הגנה קטן,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S846ee20650344b18b8cb5bad2beb060f0.jpg,4.61,5397,9.00,10.03,https://s.click.aliexpress.com/e/_c2JF95Kt,yes,no,no
31,"leashes,dogs",רצועות רפלקטיביות ספיגת זעזוע לעם חגורת רכב כלב כבד משימה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S14d0aee621a940588de8a68b4c7e61f2a.jpg,4.84,1431,33.16,34.86,https://s.click.aliexpress.com/e/_c3UGfo69,yes,no,no
32,"leashes,dogs",רצועת כלב רפלקטיבית עם ידית משופרת משיכה כפולה קשה קשה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sd0884a0b97a74b338bdedbe3e22b6babI.jpg,4.68,8816,17.01,35.47,https://s.click.aliexpress.com/e/_c3tvQpID,yes,yes,yes
33,"leashes,dogs",3 עד 5 מטר ניילון חיית מחמד רצועה אוטומטית נשלפת חבל גור הליכה,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S84a6c1ac285e4ee2ac1204fd2a4b6ac3b.jpg,4.62,1748,24.43,48.82,https://s.click.aliexpress.com/e/_c4C68ei9,yes,yes,yes
34,"beds,cats,dogs",מחצלת שינה פלנל לחיות מחמד מיטת כלב חתול כרית רכה חמה,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S08f8260c7ecd48c299786e34fd1ad15ao.jpg,4.9,4322,18.98,37.96,https://s.click.aliexpress.com/e/_c3WDVo7f,yes,no,yes
35,"beds,cats",מיטה לחתולים כרית קטן חורף אביזרים בתים אספקה חיית מחמד סלסלה בד,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S57efa9e9b0034124971939de41ec8094I.jpg,4.25,5364,31.51,32.12,https://s.click.aliexpress.com/e/_c3XnpErR,yes,no,no
36,"beds,cats,dogs",מיטת חתול קומפורט עמוק חדש למטת כלב קטן סלסלה בקן נוח,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sbb0ee603e97a43359d0f6add124acd09t.jpg,4.9,11143,37.19,74.37,https://s.click.aliexpress.com/e/_c3sw8JxL,yes,no,yes
37,"beds,cats","ערסל חתול חדש תליה מיטה סוב 20 ק""ג חלון שמש מושב חתול",top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/S7ec09387d9874f818511292ade5f32ecf.jpg,4.9,2936,43.26,92.05,https://s.click.aliexpress.com/e/_c3QEMR7L,yes,yes,yes
38,"beds,cats,dogs","מיטת חיות מחמד עגולה 40-90 ס""מ רכה מאוד מיטת חתול בית כלב חם",top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6eb082fa1c6f405c83fd15aa6169258dd.png,4.9,13401,39.03,78.05,https://s.click.aliexpress.com/e/_c2uOT5LL,yes,no,yes
39,"toys,cats",צעצועי חתול רך ארוך מצחיק יפה הנמיה משרד צהריים כרית מיטה,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sb41e2e862f6a4485ac204999b78f44a9E.jpg,4.9,4407,17.11,35.65,https://s.click.aliexpress.com/e/_c4NX8pet,yes,no,yes
40,"beds,cats",מיטת חתול חמה סופר שינה קן עדין ארוך גור מיטה סלסלה כרית,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S9145e43ce8c24432a1c0198fb55a49a86.jpg,4.9,2665,31.49,68.46,https://s.click.aliexpress.com/e/_c3ptfkAH,yes,no,yes
41,"beds,cats,dogs",כרית התחממות עצמית לחיית מחמד שמיכה כרית מיטה תרמית חופשית,top,מכירה חמה,https://ae-pic-a1.aliexpress-media.com/kf/Sadb9bf9b0bc6411ba858b4aea20116d1I.jpg,4.6,3743,20.36,43.33,https://s.click.aliexpress.com/e/_c4MLogGv,yes,no,no
